Hạng mục kiểm tra,STT,Nội dung chi tiết,Kết quả ,Ghi chú
Hình thức và Cấu trúc,1,Mục lục có khớp với tiêu đề và số trang thực tế không?,FALSE,
,2,Các thuật ngữ chuyên ngành đã được định nghĩa đầy đủ và thống nhất chưa?,FALSE,
,3,Định dạng bảng biểu font chữ và cách đánh số mục có đồng nhất không?,FALSE,
Biểu đồ và Mô hình hóa,4,Biểu đồ Use Case có bao quát hết tất cả các chức năng được mô tả không?,FALSE,
,5,Các mối quan hệ (include extend) giữa các Use Case đã chính xác chưa?,FALSE,
,6,Biểu đồ Activity thể hiện rõ các điểm quyết định và các luồng lỗi không?,FALSE,
Đặc tả chức năng,7,Mã ID của Use Case có duy nhất và đồng nhất trong toàn bộ tài liệu không?,FALSE,
,8,Tiền điều kiện và Hậu điều kiện có logic và khả thi không?,FALSE,
,9,Luồng sự kiện chính có mô tả rõ tương tác giữa Người dùng và Hệ thống không?,FALSE,
,10,Luồng thay thế đã bao quát hết các trường hợp lỗi hoặc hủy thao tác chưa?,FALSE,
,11,Bảng dữ liệu đầu vào đã đầy đủ các ràng buộc (Validation rules) chưa?,FALSE,
Yêu cầu phi chức năng,12,Yêu cầu về hiệu năng có con số định lượng cụ thể (giây người dùng) không?,FALSE,
,13,Các yêu cầu về bảo mật đã chi tiết hóa phương thức mã hóa và phân quyền chưa?,FALSE,
,14,Tài liệu có đề cập đến kế hoạch sao lưu (Backup) và phục hồi dữ liệu không?,FALSE,
Nghiệp vụ Gym,15,Quy trình Check-in tự động xử lý được bài toán quên kết thúc phiên tập chưa?,FALSE,
,16,Việc quản lý gói tập và gia hạn có xét đến khuyến mãi hoặc bảo lưu không?,FALSE,
,17,Quy trình bảo trì thiết bị đã có bước xác nhận hoàn thành chưa?,FALSE,